address,tx,ty,tz
0x2290d03f5bc,-8.12013,3.74859,5.69169
0x2290d03f5c0,3.74859,5.69169,5.61677
0x2290d03f5c4,5.69169,5.61677,1.4013e-45
0x2290d03fa5c,7.33235,1.4013e-45,0
0x2290d03faa4,-85.19,438.33,1.19016
0x2290d03faa8,438.33,1.19016,1.19016
0x2290d03fab0,1.19016,1.19016,-1
0x2290d03faec,1.19016,1.19016,1.19016
0x2290d03faf0,1.19016,1.19016,-1
0x2290d03fb2c,1,1.63037e-24,7.74918e-43
0x2290d03fba4,1,1,1
0x2290d03fba8,1,1,1
0x2290d03fbac,1,1,0
0x2290d03fbb0,1,0,0
0x2290d03fbb4,0,0,0
0x2290d03fbb8,0,0,1
0x2290d03fbc0,1,0,0
0x2290d03fbe4,0,0,1.19016
0x2290d03fbec,1.19016,0,0
0x2290d03fc50,368.296,1,3.58732e-43
0x2290d03fc54,1,3.58732e-43,0
0x2290d03fc84,0,6.75632,34.6814
0x2290d03fc88,6.75632,34.6814,11.0124
0x2290d03fc8c,34.6814,11.0124,-10.1967
0x2290d03fc90,11.0124,-10.1967,-1.6716
0x2290d03fc94,-10.1967,-1.6716,-4.48212
0x2290d03fc98,-1.6716,-4.48212,8.47652
0x2290d03fc9c,-4.48212,8.47652,18.1765
0x2290d03fca0,8.47652,18.1765,7.74726
0x2290d03fca4,18.1765,7.74726,1.4013e-45
0x2290d04013c,7.33236,1.4013e-45,0
0x2290d040190,1,1,1
0x2290d040194,1,1,0
0x2290d0401c4,-68.5514,434.582,1.19075
0x2290d0401cc,1.19075,1.19075,1.19075
0x2290d0401d0,1.19075,1.19075,-0.999995
0x2290d040284,1,1,1
0x2290d040288,1,1,1
0x2290d04028c,1,1,0
0x2290d040290,1,0,0
0x2290d040294,0,0,0
0x2290d040298,0,0,1
0x2290d0402a0,1,0,0
0x2290d0402c4,0,0.00254277,1.19075
0x2290d0402c8,0.00254277,1.19075,0.00101419
0x2290d0402cc,1.19075,0.00101419,0
0x2290d040334,1,3.58732e-43,0
0x2290d040364,0,3.47226,2.47593
0x2290d040368,3.47226,2.47593,3.1134
0x2290d04036c,2.47593,3.1134,-4.02492
0x2290d040370,3.1134,-4.02492,-8.90744
0x2290d040374,-4.02492,-8.90744,-8.12013
0x2290d040378,-8.90744,-8.12013,3.74859
